,name,vat,country,sector
0,SP Power Systems Ltd,GBSC215841,United Kingdom,Other Service Activities
1,East Anglia One Ltd,GB07366753,United Kingdom,"Electricity, Gas, Steam And Air Conditioning Supply"
4,NCM DISTRIBUTORS LIMITED,GB07581423,United Kingdom,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles
5,Lidl Great Britain Limited,GB02816429,United Kingdom,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles
6,AMPOWERUK LTD,GB09994899,United Kingdom,"Electricity, Gas, Steam And Air Conditioning Supply"
16,DREAMTEK LIMITED,GB04220936,United Kingdom,Administrative And Support Service Activities
19,TMF COURIERS LTD.,GB05182721,United Kingdom,Transportation And Storage
